epoch,train_loss,val_loss
1,220.32803345,48.86895752	
2,195.62808228,48.67100525	
3,194.73722839,48.51136017	
4,194.07875061,48.25744629	
5,192.60110474,48.18843460	
6,190.49758911,47.44272614	
7,188.33355713,46.77514648	
8,186.75170898,46.60089874	
9,185.42503357,46.48570633	
10,184.34231567,46.65368271	
11,183.40963745,45.93585968	
12,182.46081543,45.74988174	
13,181.44256592,45.72288895	
14,180.69064331,45.49693298	
15,179.71278381,45.49858475	
16,178.97142029,45.50589752	
17,178.07766724,45.06815338	
18,177.38446045,45.03176498	
19,176.42848206,45.40318298	
20,175.76599121,45.05476761	
21,175.15127563,45.25931549	
22,174.41181946,44.96340561	
23,173.78157043,45.00133133	
24,173.51565552,44.86461258	
25,173.01062012,44.86302567	
26,172.35844421,44.78062820	
27,171.84509277,44.73304749	
28,171.42353821,44.89819336	
29,170.90653992,44.80414200	
30,170.57659912,44.76155090	
31,170.53837585,44.83921432	
32,169.81294250,44.60656357	
33,169.36940002,44.68127060	
34,169.07760620,44.74635696	
35,168.79104614,44.89523697	
36,169.25154114,44.54402161	
37,168.17433167,44.69733810	
38,167.68531799,44.59974670	
39,167.76815796,44.65260315	
40,167.88420105,44.51703262	
41,167.27697754,44.57037735	
42,167.07394409,44.46002197	
43,166.55253601,44.43255234	
44,166.54171753,44.65670776	
45,166.82450867,44.49075317	
46,165.99989319,44.55570602	
47,166.02900696,44.62950516	
48,166.74729919,44.56337738	
49,165.65338135,44.48117828	
50,165.19021606,44.42774582	
51,164.95678711,44.41429520	
52,165.23109436,44.53913879	
53,165.88340759,44.71692657	
54,165.47715759,44.37335587	
55,164.54927063,44.34357834	
56,164.30000305,44.50337601	
57,164.33212280,44.42042923	
58,164.42976379,44.40429688	
59,164.58656311,44.89790344	
60,165.59970093,44.54578781	
61,164.05412292,44.37744141	
62,163.61691284,44.37642288	
63,163.44096375,44.39291382	
64,163.34767151,44.34974670	
65,165.33615112,44.46497726	
66,163.71807861,44.36635208	
67,163.15910339,44.36978149	
68,162.94647217,44.40076065	
69,162.89749146,44.35865402	
70,163.00286865,44.43567657	
71,164.71368408,44.63950729	
72,163.45115662,44.32587051	
73,162.71684265,44.31428528	
74,162.49664307,44.32590103	
75,162.44091797,44.36158752	
76,162.51892090,44.40930557	
77,162.66078186,44.35918808	
78,163.10153198,44.61838913	
79,163.40539551,44.40849686	
80,162.48980713,44.32111359	
81,162.15020752,44.31135178	
82,161.98689270,44.32736588	
83,162.06730652,44.35113525	
84,162.13371277,44.39747620	
85,162.09873962,44.37285995	
86,163.06124878,44.52094269	
87,162.69914246,44.33119202	
88,161.93354797,44.30204773	
89,161.64695740,44.30755615	
90,161.55435181,44.31727219	
91,161.54016113,44.31098557	
92,161.58027649,44.39807510	
93,163.30522156,44.42520142	
94,161.93597412,44.33814240	
95,161.53730774,44.30860138	
96,161.29275513,44.33945084	
97,161.31819153,44.33721924	
98,161.52526855,44.34421539	
99,161.29739380,44.28660965	
100,161.32945251,44.45115662
